Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP15,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,688,25,2.97836,28,120.03,3.45,7,1,7,15,10,5,-2.325301746,1.29204783,-1.250365242,3.283619159
MP15,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,912,23,2.93445,26,117.95,2.77,8,1,10,12,10,5,-0.649497357,0.103034594,0.119049534,1.427413229
MP15,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,1539,2,3.16279,2,107.38,2.48,10,1,7,12,7,4,-0.180655064,0.050031583,0.001793131,1.12883035
MP15,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,651,24,3.09217,31,136.42,4.82,12,1,15,15,12,5,-0.371784469,0.168454363,0.089138962,1.114191144
MP15,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,444,53,3.47562,53,175.49,7.06,10,1,10,15,12,5,-4.273442699,0.420200509,-0.574965491,5.428207681
MP15,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,794,11,3.02227,12,176.3,6.71,15,1,12,12,12,10,0.755393122,0.102509162,0.33824362,-0.196145905
MP16,2,1,1,2&1,0,0,0,2,2,0,2,2,818,10,4.54417,3,105.22,3.91,2,1,2,2,2,1,0.205154526,0.015020954,0.218342202,0.561482319
MP16,2,2,2,2&1,1,1,1,3,4,2,6,8,1498,13,4.63025,8,133.41,3.91,4,1,3,3,3,2,0.17342658,0.032133483,0.220634532,0.573805405
MP16,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,1129,20,4.34383,18,157.67,5.54,4,1,3,4,4,1,0.158338071,0.011787224,0.218200189,0.611674516
MP16,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,988,25,4.54625,19,142.1,5.31,7,1,3,6,5,2,0.268162915,-0.001800863,0.311330161,0.422307787
MP16,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,629,39,4.62007,36,135.78,4.89,8,1,4,4,5,2,0.279524016,0.025283397,0.145396343,0.549796243
MP16,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,843,26,4.54458,26,156.64,5.55,8,1,3,4,5,2,0.168530431,0.029860351,0.201899952,0.599709267
MP16,2,7,3,2&2,1,1,2,3,5,6,12,18,656,34,4.4575,31,132.42,4.5,5,1,4,2,4,1,0.186486013,0.030051745,0.231908237,0.551554005
MP16,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,620,40,4.67505,32,144.85,5.37,9,1,5,7,8,2,0.168062574,0.008782213,0.214979196,0.608176017
MP16,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1368,14,4.4883,10,121.18,2.93,8,1,7,6,6,2,0.18044993,0.006901052,0.230504399,0.582144619
MP16,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,612,42,4.46825,35,122.2,4.29,7,1,4,5,8,2,0.283502836,0.036124238,0.285097583,0.395275342
MP16,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,1205,19,4.78111,13,169.93,5.65,13,1,10,7,10,2,0.181655847,0.024091169,0.233166179,0.561086805
MP16,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,716,34,4.68853,23,152.91,5.52,16,1,12,11,13,4,0.186836426,0.022736185,0.251312262,0.539115128
MP16,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,426,60,4.63065,54,175.46,6.62,10,1,4,9,10,3,0.375797231,-0.197380942,0.338432706,0.483151005
MP16,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,654,27,4.63648,25,169.64,6.41,17,2,15,15,16,10,0.154529773,0.003460785,0.221233253,0.620776189
MP17,2,1,1,2&1,0,0,0,2,2,0,2,2,5057,4,4.37648,0,,,3,2,3,2,3,1,-0.062502369,0.016099716,0.147636612,0.89876604
MP17,2,2,2,2&1,1,1,1,3,4,2,6,8,2472,3,4.78904,1,111.6,2.37,5,2,4,3,3,2,-0.621607088,0.024277871,0.493299797,1.10402942
MP17,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,620,2,4.49625,5,132.51,3.69,4,2,4,3,4,1,-0.053632387,0.018068186,0.239321066,0.796243134
MP17,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,1206,9,4.52971,9,132.94,4.11,4,2,4,3,3,1,0.003314058,0.020497518,0.157350531,0.818837894
MP17,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,1132,20,5.09548,12,135.92,4.92,8,1,5,3,5,2,-0.115377658,0.089635132,0.153916642,0.871825884
MP17,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,1121,13,4.63242,11,130.81,4.17,4,1,4,2,5,1,-0.193401779,0.015088979,0.120775321,1.057537479
MP17,2,7,3,2&2,1,1,2,3,5,6,12,18,2129,6,4.3685,5,117.85,3.3,4,3,3,2,4,1,-2.792031809,-0.109394473,0.838374447,3.063051835
MP17,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1044,8,4.29964,10,129.45,4.25,5,2,4,2,4,1,-0.511022098,-0.057184432,0.51187181,1.05633472
MP17,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,891,16,4.69848,13,129.93,4.76,6,1,5,3,5,1,-0.047225497,0.031642133,0.151424403,0.864158961
MP17,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,1169,14,4.46817,11,126.84,4.47,5,1,4,2,3,2,-0.127395796,0.10127162,0.302796667,0.72332751
MP17,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,1761,9,4.46307,7,169.73,9.24,5,1,4,2,4,1,-0.086301164,0.102157146,0.248818608,0.735325409
MP17,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,753,6,4.49167,7,130.67,3.98,6,1,3,3,3,2,-0.134238964,0.044707137,0.256814448,0.832717379
MP17,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,935,19,4.45593,19,140.67,5.5,4,2,4,2,4,1,-0.053604603,0.032459893,0.184246068,0.836898642
MP17,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1429,2,4.39838,2,129.77,7.24,7,1,4,6,5,2,-0.036530814,0.088645419,0.113146981,0.834738414
MP18,2,1,1,2&1,0,0,0,2,2,0,2,2,971,14,3.73007,17,129.48,2.25,1,1,1,2,1,1,-0.375347637,0.072201598,0.295526332,1.007619707
MP18,2,2,2,2&1,1,1,1,3,4,2,6,8,1091,5,3.93004,9,120.42,1.9,2,1,1,2,1,1,0.295259819,0.02769738,0.178025148,0.499017653
MP18,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,420,16,3.78587,15,143.52,3.95,3,1,1,5,4,3,4.256305966,0.172982011,-1.401025674,-2.028262302
MP18,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,1030,20,3.80521,16,146.38,2.96,2,1,2,2,1,4,1.081401865,0.029879263,-0.13650791,0.025226783
MP18,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,682,27,4.00444,28,132.26,3.61,8,1,6,6,3,5,-0.666115695,-0.02016177,0.26377179,1.422505675
MP18,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,578,22,3.78382,25,153,3.56,6,1,3,3,3,5,0.388083491,0.020402277,0.159848197,0.431666034
MP18,2,7,3,2&2,1,1,2,3,5,6,12,18,742,16,3.86241,18,158.83,4.45,4,1,2,2,2,3,2.358449267,0.053408415,-0.758413323,-0.653444359
MP18,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,572,32,3.86849,30,150.84,3.87,2,1,2,2,2,4,0.681601088,0.030266848,0.014328159,0.273803904
MP18,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,812,15,3.86197,21,135.32,2.78,4,1,2,2,3,4,0.688249515,0.065191373,0.148526701,0.09803241
MP18,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,616,24,3.82557,30,149.13,4.54,2,1,1,2,2,2,-13.36541509,0.496383598,-2.574993516,16.44402501
MP18,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,652,14,3.74146,16,137.76,4.6,4,1,1,2,2,2,0.276823287,0.044523918,0.127782266,0.550870529
MP18,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,1385,11,4.00408,12,137.43,3.44,12,1,10,12,5,8,0.236614623,0.045048519,0.181469644,0.536867215
MP18,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,540,17,4.05453,15,601.77,13.2,13,1,5,15,5,5,-9.663718241,-0.392295138,3.36704882,7.688964558
MP18,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,514,23,3.98857,21,162.22,4.98,18,1,10,20,18,18,0.411608492,0.023725218,0.032180522,0.532485768
MP19,2,1,1,2&1,0,0,0,2,2,0,2,2,1290,9,3.34879,0,,,12,5,15,16,10,10,-0.516261503,0.167475461,0.141093802,1.207692239
MP19,2,2,2,2&1,1,1,1,3,4,2,6,8,899,6,3.44084,2,125.56,2.85,13,6,15,15,12,12,-1.594944225,0.339852108,0.228775879,2.026316238
MP19,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,1008,12,3.38468,9,147.99,4.67,15,6,15,14,15,10,0.800053281,-0.071797556,0.261365388,0.010378887
MP19,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,709,23,3.24788,16,163.06,5.84,15,7,10,12,12,10,-1.261547903,0.721331457,-0.184080736,1.724297183
MP19,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,485,16,3.27699,17,128.78,3.75,15,7,10,10,12,13,1.763077033,-0.584147174,0.186568053,-0.365497912
MP19,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,765,17,3.47309,11,182.26,6.83,13,7,15,12,12,10,-0.31076796,0.110886256,0.150891369,1.048990335
MP19,2,7,3,2&2,1,1,2,3,5,6,12,18,586,9,3.30172,4,111.75,2.57,15,6,12,10,12,12,0.640238873,-0.13371923,0.305531657,0.1879487
MP19,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,633,12,3.6999,12,113.93,3.19,15,7,15,10,12,12,-0.409581745,0.057012222,0.158406593,1.194162929
MP19,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1153,9,3.45754,3,104.89,3.94,15,4,15,10,12,13,6.346979044,-1.354167431,-0.655111457,-3.337700156
MP19,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,1049,8,3.42298,6,111.37,3.4,15,10,13,15,15,16,-1.659719923,0.249327664,-0.138584476,2.548976735
MP19,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,684,5,3.25288,4,144.5,5.27,15,7,12,10,12,13,1.05786853,-0.271025835,0.286908334,-0.07375103
MP19,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,757,16,3.1933,21,131.71,3.57,15,7,10,10,15,13,0.530721075,-0.010305211,0.153700392,0.325883743
MP19,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,421,40,3.24203,43,144.72,5.09,16,7,13,10,13,13,-32.43167007,11.58813993,-5.521187952,27.36471809
MP19,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,264,14,3.24609,11,284.95,12.01,17,4,12,5,13,15,-3.649736176,2.33651495,-0.582300202,2.895521428
MP2,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,2,1,3,1,3,2,-0.294854432,0.068913881,0.199242594,1.026697957
MP2,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,6,1,6,1,6,3,-0.57636334,0.094527723,0.413200261,1.068635356
MP2,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,6,2,6,1,8,5,6.591782908,-0.134921098,2.46488752,-7.92174933
